group,field,confidence,source_a,source_a_ra,source_a_dec,source_b,source_b_ra,source_b_dec,distance,outflow_source,red_channels,blue_channels,red_outflow_PA,blue_outflow_PA,outflow_PA,lobe_PA_offset,binary_PA,delta_PA
orion,HOPS-282,HC,A,85.10871250000001,-7.625577777777778,B,85.10866666666668,-7.625583333333334,414.7,both,99-101,93-95,0.915,5.045,2.98,4.13,263.08877288008,80.10877288007998
orion,HOPS-384,LC,A,85.43389583333334,-1.9127944444444445,A-B,85.43391666666668,-1.9127694444444443,409.5,both,108-112,,4.37,,4.37,,39.80557109782126,35.43557109782126
orion,HOPS-304,LC,A,85.441475,-1.9407194444444444,B,85.4413,-1.9407777777777777,409.5,both,107-109,94-98,166.705,136.465,151.585,30.24,251.56505117696895,80.01994882303106
orion,HOPS-400,HC,A,85.688525,-1.2704499999999999,B,85.68857083333333,-1.2705638888888888,415.4,A,103-108,95-98,77.05,96.24,86.645,19.19,158.07822140693423,71.43322140693424
orion,HOPS-213,LC,A,85.70036666666667,-8.669019444444444,B,85.70032083333334,-8.668966666666666,435.6,both,97-98,92-93,86.745,82.23,84.4875,4.515,319.0282636680473,54.540763668047305
orion,HOPS-312,HC,A,85.77370833333335,-1.265163888888889,B,85.77377083333333,-1.2652305555555556,416.3,both,97-98,88-91,35.765,36.98,36.3725,1.215,136.8476102731677,79.5248897268323
orion,HOPS-363,LC,A,86.679675,0.014541666666666666,B,86.67971666666666,0.014513888888888889,428.4,both,107-109,92-93,284.955,260.665,272.81,24.29,123.69006752961131,30.880067529611324
orion,HOPS-323,HC,A,86.6987375,0.0070194444444444445,B,86.6986125,0.006891666666666667,428.4,both,105-107,94-99,126.75,119.43,123.09,7.32,224.37040139091246,78.71959860908754
orion,HOPS-366,HC,A,86.76667916666666,0.36953611111111107,B,86.76670416666667,0.3695694444444444,430.5,both,112-120,80-87,,316.62,316.62,,36.869897654576555,80.24989765457656
orion,HOPS-361,HC,C-A,86.76929583333333,0.3632916666666666,C-B,86.76927083333334,0.36329999999999996,430.4,both,,81-88,,20.955,20.955,,288.43494882723485,87.47994882723486
orion,HOPS-364,HC,A,86.90234583333333,0.33497777777777776,B,86.90230833333332,0.33499999999999996,427.8,both,105-108,94-98,87.545,105.06,96.3025,17.515,300.6506679538143,24.34816795381431
orion,HH270VLA1,HC,A,87.8941125,2.946113888888889,B,87.89416666666666,2.946077777777778,430.1,both,104-109,94-100,230.32,229.765,230.0425,0.555,123.69006753031587,73.64756753031588
