Field,Confidence,N,All Sources,Binary,Binary Notes,Outflow Source,Outflow Source Notes,Blue Lobe Notes,Red Lobe Notes,Other Notes,V_sys,Blue Channels,Red Channels,Blue First Angle,Blue Second Angle,Blue Center Angle,Blue Center Corrected,Red First Angle,Red Second Angle,Red Center Angle,Red Center Corrected,Average Angle (Red),Lobe PA Offset
HOPS-203,HIGH,3,"A, B, C",A+B,Not visually distinct,A+B,Can't distinguish outflow source,"Sharp v-shape, distinct",Unclear,Strong outflow on the same side in both red and blue channels,10,96-100,,-8.18,-64.2,-36.19,143.81,,,,,143.81,
HOPS-203,HIGH,3,"A, B, C",,,C,,"U-shape, wider, but distinct",Not present/apparent,,10,96-100,,-52.99,-105.17,-79.08,100.92,,,,,100.92,
HOPS-173,LOW,2,"A, B",A+B,Visually distinct and touching,A+B,Can't distinguish outflow source. ,Not present/apparent,"Sharp v-shape, faint, low S/N",,7.5,,102,,,,,-85.86,-140.16,-113.01,246.99,246.99,
HOPS-193,HIGH,2,"A, B",A+B,"Visually distinct, separated",A+B,Can't distinguish outflow source,"C-shape, wide, faint, low S/N","Sharp v-shape, wide, faint, low S/N",,8.5,97-99,104,-45.11,-136.01,-90.56,89.44,39.26,156.43,97.845,97.845,93.6425,8.405
HOPS-395,HIGH,2,"A, B",A+B,"touching, elongated",B,,"Diffuse v-shape, narrow and short","Extremely narrow, jetlike","High inclination, both lobes are in the red",5,94-95,98,10.5,-8.5,1,181,164.14,170.53,167.335,167.335,174.1675,13.665
HOPS-288,HIGH,3,"AA, AB, B",AA+AB,"Not visually distinct, touching, elongated",AA+AB,Can't distinguish outflow source,"Sharp v-shape, distinct, interacts with outflow from B",Appears to be shared with AA+AB,,5,85-91,,-100.13,-147.13,-123.63,56.37,,,,,56.37,
HOPS-288,HIGH,3,"AA, AB, B",,,B,,Appears to be shared with AA+AB,"Sharp v-shape, narrow, distinct",,5,,102-108,,,,,-139.36,-157.1,-148.23,211.77,211.77,
HOPS-290,HIGH,2,"A, B",A+B,"Visually distinct, not touching",A,,Sharp v-shape,"v-shape is slightly messy, but distinct",,5,91-94,99-102,88.16,134.87,111.515,291.515,-48.18,-80.78,-64.48,295.52,293.5175,4.005
HOPS-290,HIGH,2,"A, B",A+B,"Visually distinct, not touching",B,,"Not typical shape, curves in like a shell at the end","Appears faintly on the red side, slightly diffuse v-shape",High inclination,5,91-95,,27.25,67.93,47.59,227.59,-113.74,-145.89,-129.815,230.185,228.8875,2.595
HOPS-281,HIGH,2,"A, B",A+B,B not visible in continuum or 12CO,A,,"Wide c-shape, distinct","Sharp v-shape, distinct",,4.5,91-94,99-105,163.36,245.99,204.675,24.675,-0.15,54.88,27.365,27.365,26.02,2.69
HOPS-282,HIGH,2,"A, B",A+B,"Not visually distinct, touching and elongated",A+B,Can't distinguish outflow source,"Sharp v-shape, faint, low S/N","Sharp v-shape, faint, low S/N",,5,93-95,99-101,45.83,-35.74,5.045,185.045,133.72,228.11,180.915,180.915,182.98,4.13
